Model,R2 Score,MSE,RMSE,MAE
XGBoost,0.9732312476217697,0.24570918904080905,0.49569061826991345,0.0919301553459263
Random Forest,0.9543096724742757,0.4193894868437975,0.6476028774208755,0.11195070488714652
Decision Tree,0.9270282906370277,0.6698040789184857,0.8184155905885993,0.13566568112426672
Gradient Boosting,0.9051965535436477,0.8701966239565226,0.9328433008584682,0.23053778113448561
Extra Trees,0.8815156998513511,1.0875621281202585,1.0428624684589327,0.1646510092381935
KNN,0.8691548032633819,1.2010222488435998,1.0959116063093775,0.21048693874307156
SVR,0.08045628316480702,8.440450931695016,2.9052454167754944,0.43873253899942993
Linear Regression,0.06194873419693936,8.610330901585808,2.9343365351618766,1.401267437408402
